Line No.,From Bus,To Bus,circuit,R ,X ,B ,Pmax,ratio,angle,status
74,53,54,c1,0.0263,0.122,0.031,175,0,0,1
75,49,54,c1,0.073,0.289,0.0738,175,0,0,1
76,49,54,c2,0.0869,0.291,0.073,175,0,0,1
77,54,55,c1,0.0169,0.0707,0.0202,175,0,0,1
78,54,56,c1,0.00275,0.00955,0.00732,175,0,0,1
79,55,56,c1,0.00488,0.0151,0.00374,175,0,0,1
80,56,57,c1,0.0343,0.0966,0.0242,175,0,0,1
81,50,57,c1,0.0474,0.134,0.0332,175,0,0,1
82,56,58,c1,0.0343,0.0966,0.0242,175,0,0,1
83,51,58,c1,0.0255,0.0719,0.01788,175,0,0,1
84,54,59,c1,0.0503,0.2293,0.0598,175,0,0,1
85,56,59,c1,0.0825,0.251,0.0569,175,0,0,1
86,56,59,c2,0.0803,0.239,0.0536,175,0,0,1
87,55,59,c1,0.04739,0.2158,0.05646,175,0,0,1
88,59,60,c1,0.0317,0.145,0.0376,175,0,0,1
89,59,61,c1,0.0328,0.15,0.0388,175,0,0,1
90,60,61,c1,0.00264,0.0135,0.01456,500,0,0,1
91,60,62,c1,0.0123,0.0561,0.01468,175,0,0,1
92,61,62,c1,0.00824,0.0376,0.0098,175,0,0,1
93,63,59,c1,0,0.0386,0,500,0.96,0,1
94,63,64,c1,0.00172,0.02,0.216,500,0,0,1
95,64,61,c1,0,0.0268,0,500,0.985,0,1
96,38,65,c1,0.00901,0.0986,1.046,500,0,0,1
97,64,65,c1,0.00269,0.0302,0.38,500,0,0,1
98,49,66,c1,0.018,0.0919,0.0248,500,0,0,1
99,49,66,c2,0.018,0.0919,0.0248,500,0,0,1
100,62,66,c1,0.0482,0.218,0.0578,175,0,0,1
101,62,67,c1,0.0258,0.117,0.031,175,0,0,1
102,65,66,c1,0,0.037,0,500,0.935,0,1
103,66,67,c1,0.0224,0.1015,0.02682,175,0,0,1
104,65,68,c1,0.00138,0.016,0.638,500,0,0,1
105,47,69,c1,0.0844,0.2778,0.07092,175,0,0,1
106,49,69,c1,0.0985,0.324,0.0828,175,0,0,1
107,68,69,c1,0,0.037,0,500,0.935,0,1
108,69,70,c1,0.03,0.127,0.122,500,0,0,1
109,24,70,c1,0.00221,0.4115,0.10198,175,0,0,1
110,70,71,c1,0.00882,0.0355,0.00878,175,0,0,1
111,24,72,c1,0.0488,0.196,0.0488,175,0,0,1
112,71,72,c1,0.0446,0.18,0.04444,175,0,0,1
113,71,73,c1,0.00866,0.0454,0.01178,175,0,0,1
114,70,74,c1,0.0401,0.1323,0.03368,175,0,0,1
115,70,75,c1,0.0428,0.141,0.036,175,0,0,1
116,69,75,c1,0.0405,0.122,0.124,500,0,0,1
117,74,75,c1,0.0123,0.0406,0.01034,175,0,0,1
118,76,77,c1,0.0444,0.148,0.0368,175,0,0,1
119,69,77,c1,0.0309,0.101,0.1038,175,0,0,1
120,75,77,c1,0.0601,0.1999,0.04978,175,0,0,1
121,77,78,c1,0.00376,0.0124,0.01264,175,0,0,1
122,78,79,c1,0.00546,0.0244,0.00648,175,0,0,1
123,77,80,c1,0.017,0.0485,0.0472,500,0,0,1
124,77,80,c2,0.0294,0.105,0.0228,500,0,0,1
125,79,80,c1,0.0156,0.0704,0.0187,175,0,0,1
126,68,81,c1,0.00175,0.0202,0.808,500,0,0,1
127,81,80,c1,0,0.037,0,500,0.935,0,1
128,77,82,c1,0.0298,0.0853,0.08174,200,0,0,1
129,82,83,c1,0.0112,0.03665,0.03796,200,0,0,1
130,83,84,c1,0.0625,0.132,0.0258,175,0,0,1
131,83,85,c1,0.043,0.148,0.0348,175,0,0,1
132,84,85,c1,0.0302,0.0641,0.01234,175,0,0,1
133,85,86,c1,0.035,0.123,0.0276,500,0,0,1
134,86,87,c1,0.02828,0.2074,0.0445,500,1,0,1
135,85,88,c1,0.02,0.102,0.0276,175,0,0,1
136,85,89,c1,0.0239,0.173,0.047,175,0,0,1
137,88,89,c1,0.0139,0.0712,0.01934,500,0,0,1
138,89,90,c1,0.0518,0.188,0.0528,500,0,0,1
139,89,90,c2,0.0238,0.0997,0.106,500,0,0,1
140,90,91,c1,0.0254,0.0836,0.0214,175,0,0,1
141,89,92,c1,0.0099,0.0505,0.0548,500,0,0,1
142,89,92,c2,0.0393,0.1581,0.0414,500,0,0,1
143,91,92,c1,0.0387,0.1272,0.03268,175,0,0,1
144,92,93,c1,0.0258,0.0848,0.0218,175,0,0,1
145,92,94,c1,0.0481,0.158,0.0406,175,0,0,1
146,93,94,c1,0.0223,0.0732,0.01876,175,0,0,1
147,94,95,c1,0.0132,0.0434,0.0111,175,0,0,1
148,80,96,c1,0.0356,0.182,0.0494,175,0,0,1
149,82,96,c1,0.0162,0.053,0.0544,175,0,0,1
150,94,96,c1,0.0269,0.0869,0.023,175,0,0,1
151,80,97,c1,0.0183,0.0934,0.0254,175,0,0,1
152,80,98,c1,0.0238,0.108,0.0286,175,0,0,1
153,80,99,c1,0.0454,0.206,0.0546,200,0,0,1
154,92,100,c1,0.0648,0.295,0.0472,175,0,0,1
155,94,100,c1,0.0178,0.058,0.0604,175,0,0,1
156,95,96,c1,0.0171,0.0547,0.01474,175,0,0,1
157,96,97,c1,0.0173,0.0885,0.024,175,0,0,1
158,98,100,c1,0.0397,0.179,0.0476,175,0,0,1
159,99,100,c1,0.018,0.0813,0.0216,175,0,0,1
160,100,101,c1,0.0277,0.1262,0.0328,175,0,0,1
161,92,102,c1,0.0123,0.0559,0.01464,175,0,0,1
162,101,102,c1,0.0246,0.112,0.0294,175,0,0,1
163,100,103,c1,0.016,0.0525,0.0536,500,0,0,1
164,100,104,c1,0.0451,0.204,0.0541,175,0,0,1
165,103,104,c1,0.0466,0.1584,0.0407,175,0,0,1
166,103,105,c1,0.0535,0.1625,0.0408,175,0,0,1
167,100,106,c1,0.0605,0.229,0.062,175,0,0,1
168,104,105,c1,0.00994,0.0378,0.00986,175,0,0,1
169,105,106,c1,0.014,0.0547,0.01434,175,0,0,1
170,105,107,c1,0.053,0.183,0.0472,175,0,0,1
171,105,108,c1,0.0261,0.0703,0.01844,175,0,0,1
172,106,107,c1,0.053,0.183,0.0472,175,0,0,1
173,108,109,c1,0.0105,0.0288,0.0076,175,0,0,1
174,103,110,c1,0.03906,0.1813,0.0461,175,0,0,1
175,109,110,c1,0.0278,0.0762,0.0202,175,0,0,1
176,110,111,c1,0.022,0.0755,0.02,175,0,0,1
177,110,112,c1,0.0247,0.064,0.062,175,0,0,1
178,17,113,c1,0.00913,0.0301,0.00768,175,0,0,1
179,32,113,c1,0.0615,0.203,0.0518,500,0,0,1
180,32,114,c1,0.0135,0.0612,0.01628,175,0,0,1
181,27,115,c1,0.0164,0.0741,0.01972,175,0,0,1
182,114,115,c1,0.0023,0.0104,0.00276,175,0,0,1
183,68,116,c1,0.00034,0.00405,0.164,500,1,0,1
184,12,117,c1,0.0329,0.14,0.0358,175,0,0,1
185,75,118,c1,0.0145,0.0481,0.01198,175,0,0,1
186,76,118,c1,0.0164,0.0544,0.01356,175,0,0,1
